uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,ID,FeatureAuthor,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,FeatureType,MapSymbol,Source,Note,GC,DateCompleted,Description,Classification,OtherDescription,Picture,geospatialcolumn
1.00003E+18,202232,Lachlan Hanley,2017-09-18 04:39:33.222 GMT,Lachlan Hanley,2017-09-18 04:39:33 GMT,202232,Lachlan Hanley,2017-09-18 07:39:22+03:00,42.63763493,26.13393066,4720939.57,428994.4791,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428994.479062 4720939.569952)
1.00005E+18,202023,Stephanie Black,2017-09-18 04:39:39.144 GMT,Stephanie Black,2017-09-18 04:39:39 GMT,202023,Stephanie Black,2017-09-18 07:39:28+03:00,42.13840871,26.08340694,4665550.284,424254.3361,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(424254.336129 4665550.283932)
1.00003E+18,202233,Lachlan Hanley,2017-09-18 04:39:54.876 GMT,Lachlan Hanley,2017-09-18 04:39:54 GMT,202233,Lachlan Hanley,2017-09-18 07:39:44+03:00,42.63501853,26.14212512,4720642.192,429663.3672,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429663.36717 4720642.191947)
1.00005E+18,202024,Stephanie Black,2017-09-18 04:40:19.743 GMT,Stephanie Black,2017-09-18 04:40:19 GMT,202024,Stephanie Black,2017-09-18 07:40:09+03:00,42.1460689,26.08549255,4666398.971,424435.7986,,Mound,Hairy brown circle,TopomapRU 1:50k,10,No,18/09/2017,,,,,POINT(424435.798555 4666398.970632)
1.00003E+18,202234,Lachlan Hanley,2017-09-18 04:40:25.893 GMT,Lachlan Hanley,2017-09-18 04:40:30 GMT,202234,Lachlan Hanley,2017-09-18 07:40:18+03:00,42.63070059,26.10256181,4720196.376,426414.4868,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(426414.486772 4720196.376014)
1.00005E+18,202025,Stephanie Black,2017-09-18 04:41:34.972 GMT,Stephanie Black,2017-09-18 04:41:34 GMT,202025,Stephanie Black,2017-09-18 07:41:23+03:00,42.14365222,26.11364282,4666106.109,426759.041,,Mound,Hairy brown circle,TopomapRU 1:50k,4,No,18/09/2017,,,,,POINT(426759.041029 4666106.108673)
1.00003E+18,202235,Lachlan Hanley,2017-09-18 04:41:35.748 GMT,Lachlan Hanley,2017-09-18 04:41:35 GMT,202235,Lachlan Hanley,2017-09-18 07:41:24+03:00,42.63577069,26.07277674,4720785.712,423978.4121,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(423978.412054 4720785.712173)
1.00005E+18,202026,Stephanie Black,2017-09-18 04:41:55.101 GMT,Stephanie Black,2017-09-18 04:42:05 GMT,202026,Stephanie Black,2017-09-18 07:41:47+03:00,42.14568118,26.11318155,4666331.786,426723.2656,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(426723.265585 4666331.785504)
1.00003E+18,202236,Lachlan Hanley,2017-09-18 04:42:54.705 GMT,Lachlan Hanley,2017-09-18 04:42:54 GMT,202236,Lachlan Hanley,2017-09-18 07:42:42+03:00,42.63440547,26.03707387,4720666.823,421049.4406,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(421049.440597 4720666.822508)
1.00005E+18,202027,Stephanie Black,2017-09-18 04:43:31.081 GMT,Stephanie Black,2017-09-18 04:43:31 GMT,202027,Stephanie Black,2017-09-18 07:43:15+03:00,42.13977749,26.13050621,4665661.558,428148.1167,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428148.116734 4665661.557703)
1.00005E+18,202028,Stephanie Black,2017-09-18 04:44:19.971 GMT,Stephanie Black,2017-09-18 04:44:19 GMT,202028,Stephanie Black,2017-09-18 07:44:08+03:00,42.15023212,26.13916193,4666815.119,428875.1042,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428875.104243 4666815.119161)
1.00005E+18,202029,Stephanie Black,2017-09-18 04:45:00.279 GMT,Stephanie Black,2017-09-18 04:45:00 GMT,202029,Stephanie Black,2017-09-18 07:44:49+03:00,42.13957276,26.14516319,4665626.597,429359.0994,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429359.099432 4665626.596898)
